,filename,clusterRank,lowestBindingEnergy,numberInCluster,nrun,nev,psize
80,Propanolol-1.dlg,9,-4.9,1,57,423131,310
79,Propanolol-1.dlg,10,-4.37,1,57,423131,310
52,Propanolol-4.dlg,9,-4.34,3,60,402684,333
77,Propanolol-0.dlg,11,-4.25,1,72,337458,179
76,Propanolol-4.dlg,10,-4.23,1,60,402684,333
75,Propanolol-4.dlg,11,-4.0,1,60,402684,333
74,Propanolol-5.dlg,10,-3.74,1,38,623700,133
72,Propanolol-6.dlg,11,-2.24,1,81,300902,147
69,Propanolol-8.dlg,10,-2.18,1,84,290417,131
68,Propanolol-6.dlg,12,-1.51,1,81,300902,147
67,Propanolol-8.dlg,11,0.06,1,84,290417,131
70,Propanolol-0.dlg,12,1.52,1,72,337458,179
73,Propanolol-5.dlg,11,2.31,1,38,623700,133
78,Propanolol-8.dlg,12,2.65,1,84,290417,131
97,Propanolol-5.dlg,12,3.34,1,38,623700,133
